startin 1
1 2 703
1 3 520
1 4 1471
1 5 1320
1 6 1099
1 7 1065
1 8 962
1 9 1017
1 10 381
1 11 1389
1 12 172
1 13 529
1 14 1142
1 15 1
1 16 1343
1 17 926
1 18 322
2 1 318
2 3 824
2 4 1548
2 5 1079
2 6 1407
2 7 505
2 8 571
2 9 346
2 10 1490
2 11 356
2 12 402
2 13 1237
2 14 547
2 15 1456
2 16 376
2 17 1787
2 18 792
3 1 1426
3 2 967
3 4 1591
3 5 763
3 6 868
3 7 927
3 8 1197
3 9 1215
3 10 1239
3 11 1335
3 12 1257
3 13 1770
3 14 1667
3 15 1080
3 16 1342
3 17 485
3 18 384
4 1 646
4 2 1222
4 3 181
4 5 23
4 6 1346
4 7 105
4 8 1157
4 9 975
4 10 250
4 11 1791
4 12 404
4 13 1470
4 14 1145
4 15 561
4 16 1473
4 17 1646
4 18 1321
5 1 679
5 2 762
5 3 691
5 4 417
5 6 1565
5 7 1599
5 8 1691
5 9 9
5 10 445
5 11 481
5 12 1381
5 13 343
5 14 1097
5 15 1038
5 16 776
5 17 1530
5 18 1118
6 1 1174
6 2 689
6 3 1431
6 4 378
6 5 297
6 7 1026
6 8 285
6 9 1031
6 10 79
6 11 1624
6 12 1209
6 13 828
6 14 795
6 15 242
6 16 1614
6 17 1475
6 18 153
7 1 714
7 2 1043
7 3 1004
7 4 1247
7 5 707
7 6 1759
7 8 325
7 9 1684
7 10 754
7 11 756
7 12 418
7 13 1059
7 14 169
7 15 61
7 16 138
7 17 1435
7 18 1419
8 1 513
8 2 530
8 3 1134
8 4 635
8 5 1008
8 6 292
8 7 678
8 9 255
8 10 1611
8 11 1789
8 12 818
8 13 1054
8 14 864
8 15 203
8 16 1794
8 17 1755
8 18 1339
9 1 532
9 2 312
9 3 246
9 4 1558
9 5 687
9 6 382
9 7 602
9 8 1690
9 10 1302
9 11 834
9 12 207
9 13 29
9 14 464
9 15 598
9 16 734
9 17 1155
9 18 719
10 1 1714
10 2 1272
10 3 1236
10 4 766
10 5 650
10 6 354
10 7 85
10 8 1540
10 9 882
10 11 1680
10 12 147
10 13 854
10 14 977
10 15 1046
10 16 19
10 17 1537
10 18 1230
11 1 567
11 2 1150
11 3 1136
11 4 217
11 5 420
11 6 797
11 7 1086
11 8 121
11 9 179
11 10 144
11 12 391
11 13 120
11 14 1422
11 15 1534
11 16 1585
11 17 496
11 18 1442
12 1 876
12 2 1546
12 3 1009
12 4 1522
12 5 419
12 6 1698
12 7 311
12 8 463
12 9 863
12 10 618
12 11 261
12 13 804
12 14 952
12 15 843
12 16 866
12 17 1643
12 18 964
13 1 1234
13 2 550
13 3 1443
13 4 1267
13 5 489
13 6 1593
13 7 1218
13 8 526
13 9 773
13 10 577
13 11 1005
13 12 1207
13 14 842
13 15 1633
13 16 708
13 17 1151
13 18 820
14 1 1780
14 2 1064
14 3 1665
14 4 522
14 5 1226
14 6 725
14 7 560
14 8 78
14 9 1202
14 10 1727
14 11 258
14 12 1685
14 13 1274
14 15 435
14 16 597
14 17 1468
14 18 393
15 1 1014
15 2 165
15 3 305
15 4 924
15 5 1612
15 6 338
15 7 83
15 8 446
15 9 693
15 10 26
15 11 668
15 12 1399
15 13 474
15 14 1568
15 16 538
15 17 145
15 18 249
16 1 1729
16 2 81
16 3 604
16 4 1752
16 5 508
16 6 557
16 7 1712
16 8 675
16 9 1596
16 10 957
16 11 620
16 12 684
16 13 637
16 14 1262
16 15 757
16 17 32
16 18 319
17 1 75
17 2 1386
17 3 741
17 4 823
17 5 579
17 6 156
17 7 713
17 8 360
17 9 161
17 10 1401
17 11 802
17 12 362
17 13 1623
17 14 605
17 15 576
17 16 654
17 18 1649
18 1 1152
18 2 752
18 3 516
18 4 1116
18 5 973
18 6 512
18 7 709
18 8 899
18 9 1498
18 10 1191
18 11 1231
18 12 199
18 13 64
18 14 1172
18 15 130
18 16 1205
18 17 1639
m
0 703 520 1471 1320 1099 1065 962 1017 381 1389 172 529 1142 1 1343 926 322
318 0 824 1548 1079 1407 505 571 346 1490 356 402 1237 547 1456 376 1787 792
1426 967 0 1591 763 868 927 1197 1215 1239 1335 1257 1770 1667 1080 1342 485 384
646 1222 181 0 23 1346 105 1157 975 250 1791 404 1470 1145 561 1473 1646 1321
679 762 691 417 0 1565 1599 1691 9 445 481 1381 343 1097 1038 776 1530 1118
1174 689 1431 378 297 0 1026 285 1031 79 1624 1209 828 795 242 1614 1475 153
714 1043 1004 1247 707 1759 0 325 1684 754 756 418 1059 169 61 138 1435 1419
513 530 1134 635 1008 292 678 0 255 1611 1789 818 1054 864 203 1794 1755 1339
532 312 246 1558 687 382 602 1690 0 1302 834 207 29 464 598 734 1155 719
1714 1272 1236 766 650 354 85 1540 882 0 1680 147 854 977 1046 19 1537 1230
567 1150 1136 217 420 797 1086 121 179 144 0 391 120 1422 1534 1585 496 1442
876 1546 1009 1522 419 1698 311 463 863 618 261 0 804 952 843 866 1643 964
1234 550 1443 1267 489 1593 1218 526 773 577 1005 1207 0 842 1633 708 1151 820
1780 1064 1665 522 1226 725 560 78 1202 1727 258 1685 1274 0 435 597 1468 393
1014 165 305 924 1612 338 83 446 693 26 668 1399 474 1568 0 538 145 249
1729 81 604 1752 508 557 1712 675 1596 957 620 684 637 1262 757 0 32 319
75 1386 741 823 579 156 713 360 161 1401 802 362 1623 605 576 654 0 1649
1152 752 516 1116 973 512 709 899 1498 1191 1231 199 64 1172 130 1205 1639 0
E
