startin 1
1 2 1179
1 3 1291
1 4 1334
1 5 707
1 6 1228
1 7 486
1 8 787
1 9 614
1 10 432
1 11 1392
1 12 817
1 13 1027
1 14 1279
2 1 418
2 3 1300
2 4 37
2 5 315
2 6 1272
2 7 561
2 8 25
2 9 137
2 10 1397
2 11 147
2 12 947
2 13 608
2 14 322
3 1 932
3 2 1162
3 4 987
3 5 1183
3 6 116
3 7 352
3 8 930
3 9 197
3 10 1349
3 11 1352
3 12 270
3 13 134
3 14 894
4 1 888
4 2 807
4 3 1242
4 5 660
4 6 140
4 7 449
4 8 731
4 9 152
4 10 59
4 11 895
4 12 738
4 13 1036
4 14 124
5 1 1031
5 2 1127
5 3 1346
5 4 1315
5 6 649
5 7 86
5 8 1277
5 9 1006
5 10 658
5 11 552
5 12 1090
5 13 1305
5 14 718
6 1 1180
6 2 1178
6 3 913
6 4 1318
6 5 1106
6 7 1204
6 8 1311
6 9 732
6 10 616
6 11 1170
6 12 505
6 13 1227
6 14 1221
7 1 580
7 2 974
7 3 69
7 4 480
7 5 1053
7 6 1232
7 8 584
7 9 1386
7 10 1378
7 11 1319
7 12 556
7 13 797
7 14 400
8 1 603
8 2 903
8 3 1157
8 4 193
8 5 719
8 6 321
8 7 113
8 9 1250
8 10 1099
8 11 20
8 12 1058
8 13 989
8 14 543
9 1 1029
9 2 1191
9 3 733
9 4 615
9 5 509
9 6 594
9 7 41
9 8 320
9 10 1245
9 11 696
9 12 1387
9 13 1143
9 14 606
10 1 960
10 2 755
10 3 363
10 4 1108
10 5 1008
10 6 1177
10 7 514
10 8 593
10 9 1329
10 11 1186
10 12 1256
10 13 872
10 14 1267
11 1 908
11 2 996
11 3 138
11 4 1325
11 5 851
11 6 951
11 7 1210
11 8 349
11 9 1066
11 10 214
11 12 577
11 13 474
11 14 1316
12 1 1035
12 2 244
12 3 946
12 4 792
12 5 1357
12 6 1320
12 7 1265
12 8 1360
12 9 698
12 10 1193
12 11 1056
12 13 1216
12 14 1103
13 1 1109
13 2 476
13 3 923
13 4 911
13 5 1128
13 6 307
13 7 839
13 8 1340
13 9 1129
13 10 1302
13 11 297
13 12 325
13 14 239
14 1 1003
14 2 1082
14 3 437
14 4 1122
14 5 1026
14 6 492
14 7 1380
14 8 1212
14 9 1080
14 10 1244
14 11 1195
14 12 825
14 13 531
m
0 1179 1291 1334 707 1228 486 787 614 432 1392 817 1027 1279
418 0 1300 37 315 1272 561 25 137 1397 147 947 608 322
932 1162 0 987 1183 116 352 930 197 1349 1352 270 134 894
888 807 1242 0 660 140 449 731 152 59 895 738 1036 124
1031 1127 1346 1315 0 649 86 1277 1006 658 552 1090 1305 718
1180 1178 913 1318 1106 0 1204 1311 732 616 1170 505 1227 1221
580 974 69 480 1053 1232 0 584 1386 1378 1319 556 797 400
603 903 1157 193 719 321 113 0 1250 1099 20 1058 989 543
1029 1191 733 615 509 594 41 320 0 1245 696 1387 1143 606
960 755 363 1108 1008 1177 514 593 1329 0 1186 1256 872 1267
908 996 138 1325 851 951 1210 349 1066 214 0 577 474 1316
1035 244 946 792 1357 1320 1265 1360 698 1193 1056 0 1216 1103
1109 476 923 911 1128 307 839 1340 1129 1302 297 325 0 239
1003 1082 437 1122 1026 492 1380 1212 1080 1244 1195 825 531 0
E
