startin 1
1 2 1232
1 3 1104
1 4 1101
1 5 908
1 6 1743
1 7 712
1 8 1415
1 9 837
1 10 903
1 11 1100
1 12 1383
1 13 1459
1 14 282
1 15 259
1 16 833
1 17 578
1 18 197
1 19 1863
2 1 170
2 3 1433
2 4 933
2 5 422
2 6 1161
2 7 1806
2 8 921
2 9 225
2 10 664
2 11 932
2 12 1723
2 13 1083
2 14 1002
2 15 1047
2 16 731
2 17 744
2 18 1288
2 19 1830
3 1 1570
3 2 732
3 4 1306
3 5 1460
3 6 1330
3 7 99
3 8 632
3 9 905
3 10 1874
3 11 1781
3 12 608
3 13 171
3 14 236
3 15 1021
3 16 937
3 17 219
3 18 1411
3 19 852
4 1 1477
4 2 1513
4 3 1626
4 5 1883
4 6 979
4 7 997
4 8 1650
4 9 1228
4 10 1701
4 11 589
4 12 12
4 13 822
4 14 1820
4 15 1030
4 16 345
4 17 807
4 18 1370
4 19 546
5 1 1557
5 2 462
5 3 784
5 4 142
5 6 1131
5 7 1793
5 8 490
5 9 1019
5 10 188
5 11 1850
5 12 1695
5 13 666
5 14 243
5 15 1843
5 16 1133
5 17 1454
5 18 100
5 19 778
6 1 232
6 2 772
6 3 1831
6 4 960
6 5 1455
6 7 777
6 8 1194
6 9 1765
6 10 1829
6 11 696
6 12 385
6 13 206
6 14 94
6 15 380
6 16 740
6 17 87
6 18 1357
6 19 1837
7 1 4
7 2 1881
7 3 73
7 4 580
7 5 482
7 6 1859
7 8 1745
7 9 613
7 10 507
7 11 1070
7 12 1754
7 13 1869
7 14 1304
7 15 677
7 16 1604
7 17 1655
7 18 1312
7 19 858
8 1 998
8 2 1204
8 3 884
8 4 148
8 5 1241
8 6 805
8 7 139
8 9 1629
8 10 375
8 11 1444
8 12 1390
8 13 1818
8 14 702
8 15 1397
8 16 1879
8 17 1474
8 18 1092
8 19 1692
9 1 423
9 2 301
9 3 1767
9 4 1878
9 5 889
9 6 652
9 7 1098
9 8 425
9 10 1366
9 11 1416
9 12 1462
9 13 1332
9 14 1845
9 15 1121
9 16 283
9 17 1409
9 18 41
9 19 1476
10 1 1045
10 2 1107
10 3 1384
10 4 1642
10 5 1733
10 6 938
10 7 214
10 8 1865
10 9 1541
10 11 1060
10 12 1450
10 13 1664
10 14 1285
10 15 11
10 16 1074
10 17 1354
10 18 909
10 19 131
11 1 1652
11 2 1657
11 3 268
11 4 1852
11 5 315
11 6 304
11 7 1190
11 8 1645
11 9 1607
11 10 1679
11 12 886
11 13 1284
11 14 726
11 15 1586
11 16 223
11 17 946
11 18 902
11 19 1480
12 1 742
12 2 1509
12 3 1105
12 4 1268
12 5 1896
12 6 984
12 7 1423
12 8 1398
12 9 610
12 10 672
12 11 774
12 13 182
12 14 1683
12 15 815
12 16 1578
12 17 1301
12 18 760
12 19 1052
13 1 276
13 2 575
13 3 835
13 4 499
13 5 1326
13 6 477
13 7 2
13 8 617
13 9 1402
13 10 1219
13 11 594
13 12 1823
13 14 1573
13 15 86
13 16 244
13 17 1249
13 18 373
13 19 336
14 1 1656
14 2 1090
14 3 1337
14 4 994
14 5 1253
14 6 549
14 7 592
14 8 1210
14 9 1108
14 10 717
14 11 1356
14 12 187
14 13 1842
14 15 1327
14 16 1580
14 17 1634
14 18 1224
14 19 1618
15 1 819
15 2 1243
15 3 1154
15 4 767
15 5 758
15 6 70
15 7 1814
15 8 1719
15 9 1294
15 10 175
15 11 558
15 12 912
15 13 1246
15 14 1538
15 16 880
15 17 671
15 18 1553
15 19 1750
16 1 1143
16 2 1128
16 3 57
16 4 141
16 5 518
16 6 359
16 7 252
16 8 1598
16 9 790
16 10 177
16 11 1592
16 12 473
16 13 1250
16 14 1640
16 15 1273
16 17 1072
16 18 808
16 19 771
17 1 1387
17 2 599
17 3 827
17 4 661
17 5 59
17 6 202
17 7 974
17 8 1621
17 9 1412
17 10 1430
17 11 568
17 12 919
17 13 286
17 14 844
17 15 1024
17 16 1319
17 18 1608
17 19 978
18 1 128
18 2 352
18 3 262
18 4 410
18 5 1061
18 6 1001
18 7 347
18 8 1637
18 9 119
18 10 1636
18 11 1786
18 12 845
18 13 1827
18 14 1900
18 15 704
