startin 1
1 2 192
1 3 634
1 4 1071
1 5 1092
1 6 1878
1 7 1327
1 8 1830
1 9 1313
1 10 1946
1 11 940
1 12 390
1 13 263
1 14 1817
1 15 1304
1 16 1903
1 17 617
1 18 497
1 19 1563
1 20 835
2 3 755
2 4 1428
2 5 1853
2 6 1697
2 7 1778
2 8 1669
2 9 1096
2 10 808
2 11 181
2 12 599
2 13 1911
2 14 546
2 15 1049
2 16 1297
2 17 1781
2 18 80
2 19 1731
2 20 1567
3 4 309
3 5 1979
3 6 1204
3 7 1686
3 8 658
3 9 111
3 10 215
3 11 1757
3 12 800
3 13 1206
3 14 1978
3 15 1268
3 16 1626
3 17 1773
3 18 706
3 19 1604
3 20 1687
4 5 1889
4 6 392
4 7 504
4 8 476
4 9 1730
4 10 340
4 11 1881
4 12 234
4 13 1914
4 14 699
4 15 109
4 16 1748
4 17 1111
4 18 1385
4 19 957
4 20 762
5 6 81
5 7 660
5 8 398
5 9 1498
5 10 1332
5 11 1202
5 12 1112
5 13 613
5 14 1602
5 15 1284
5 16 670
5 17 1640
5 18 1413
5 19 1758
5 20 1
6 7 1010
6 8 1856
6 9 1741
6 10 289
6 11 1474
6 12 1957
6 13 461
6 14 1775
6 15 1527
6 16 243
6 17 319
6 18 953
6 19 601
6 20 139
7 8 1019
7 9 32
7 10 1723
7 11 1452
7 12 1463
7 13 1594
7 14 1608
7 15 487
7 16 763
7 17 1186
7 18 662
7 19 1695
7 20 1403
8 9 870
8 10 711
8 11 1658
8 12 1922
8 13 1617
8 14 1965
8 15 963
8 16 365
8 17 1652
8 18 1048
8 19 1671
8 20 524
9 10 1514
9 11 1242
9 12 1680
9 13 1407
9 14 204
9 15 1007
9 16 740
9 17 273
9 18 1677
9 19 1582
9 20 921
10 11 191
10 12 1009
10 13 1295
10 14 1100
10 15 1298
10 16 1553
10 17 1321
10 18 1689
10 19 1926
10 20 1230
11 12 795
11 13 1409
11 14 892
11 15 900
11 16 1829
11 17 84
11 18 810
11 19 1844
11 20 533
12 13 65
12 14 1722
12 15 619
12 16 1316
12 17 305
12 18 135
12 19 1955
12 20 393
13 14 928
13 15 20
13 16 732
13 17 864
13 18 820
13 19 1506
13 20 1681
14 15 484
14 16 1392
14 17 1080
14 18 199
14 19 519
14 20 1421
15 16 1189
15 17 903
15 18 495
15 19 1750
15 20 212
16 17 424
16 18 1022
16 19 118
16 20 582
17 18 436
17 19 1200
17 20 1387
18 19 944
18 20 1440
19 20 370
M
0 192 634 1071 1092 1878 1327 1830 1313 1946 940 390 263 1817 1304 1903 617 497 1563 835
192 0 755 1428 1853 1697 1778 1669 1096 808 181 599 1911 546 1049 1297 1781 80 1731 1567
634 755 0 309 1979 1204 1686 658 111 215 1757 800 1206 1978 1268 1626 1773 706 1604 1687
1071 1428 309 0 1889 392 504 476 1730 340 1881 234 1914 699 109 1748 1111 1385 957 762
1092 1853 1979 1889 0 81 660 398 1498 1332 1202 1112 613 1602 1284 670 1640 1413 1758 1
1878 1697 1204 392 81 0 1010 1856 1741 289 1474 1957 461 1775 1527 243 319 953 601 139
1327 1778 1686 504 660 1010 0 1019 32 1723 1452 1463 1594 1608 487 763 1186 662 1695 1403
1830 1669 658 476 398 1856 1019 0 870 711 1658 1922 1617 1965 963 365 1652 1048 1671 524
1313 1096 111 1730 1498 1741 32 870 0 1514 1242 1680 1407 204 1007 740 273 1677 1582 921
1946 808 215 340 1332 289 1723 711 1514 0 191 1009 1295 1100 1298 1553 1321 1689 1926 1230
940 181 1757 1881 1202 1474 1452 1658 1242 191 0 795 1409 892 900 1829 84 810 1844 533
390 599 800 234 1112 1957 1463 1922 1680 1009 795 0 65 1722 619 1316 305 135 1955 393
263 1911 1206 1914 613 461 1594 1617 1407 1295 1409 65 0 928 20 732 864 820 1506 1681
1817 546 1978 699 1602 1775 1608 1965 204 1100 892 1722 928 0 484 1392 1080 199 519 1421
1304 1049 1268 109 1284 1527 487 963 1007 1298 900 619 20 484 0 1189 903 495 1750 212
1903 1297 1626 1748 670 243 763 365 740 1553 1829 1316 732 1392 1189 0 424 1022 118 582
617 1781 1773 1111 1640 319 1186 1652 273 1321 84 305 864 1080 903 424 0 436 1200 1387
497 80 706 1385 1413 953 662 1048 1677 1689 810 135 820 199 495 1022 436 0 944 1440
1563 1731 1604 957 1758 601 1695 1671 1582 1926 1844 1955 1506 519 1750 118 1200 944 0 370
835 1567 1687 762 1 139 1403 524 921 1230 533 393 1681 1421 212 582 1387 1440 370 0
E
