startin 1
1 2 1343
1 3 1377
1 4 1294
1 5 990
1 6 404
1 7 770
1 8 1488
1 9 898
1 10 1226
1 11 442
1 12 706
1 13 309
1 14 1181
1 15 621
2 1 312
2 3 983
2 4 600
2 5 862
2 6 1314
2 7 766
2 8 1485
2 9 546
2 10 1149
2 11 1304
2 12 1391
2 13 446
2 14 1468
2 15 1254
3 1 803
3 2 420
3 4 1404
3 5 1350
3 6 829
3 7 1030
3 8 1269
3 9 708
3 10 1140
3 11 1438
3 12 1119
3 13 1201
3 14 332
3 15 675
4 1 1362
4 2 1433
4 3 768
4 5 1133
4 6 1246
4 7 630
4 8 109
4 9 780
4 10 1028
4 11 1441
4 12 1353
4 13 1451
4 14 18
4 15 739
5 1 634
5 2 771
5 3 1393
5 4 299
5 6 912
5 7 788
5 8 160
5 9 890
5 10 1070
5 11 329
5 12 1364
5 13 1136
5 14 711
5 15 301
6 1 1465
6 2 471
6 3 949
6 4 1439
6 5 1477
6 7 1412
6 8 1429
6 9 1001
6 10 605
6 11 1004
6 12 774
6 13 382
6 14 547
6 15 1273
7 1 372
7 2 1258
7 3 1010
7 4 998
7 5 1247
7 6 1111
7 8 35
7 9 1012
7 10 1188
7 11 801
7 12 1148
7 13 617
7 14 1471
7 15 936
8 1 1427
8 2 494
8 3 1336
8 4 1372
8 5 1423
8 6 1100
8 7 45
8 9 925
8 10 1338
8 11 1121
8 12 1452
8 13 1406
8 14 1483
8 15 1390
9 1 969
9 2 1217
9 3 1259
9 4 1379
9 5 1374
9 6 1420
9 7 1347
9 8 232
9 10 1384
9 11 527
9 12 91
9 13 589
9 14 1049
9 15 1376
10 1 1198
10 2 1199
10 3 470
10 4 1123
10 5 194
10 6 1135
10 7 1383
10 8 1096
10 9 1361
10 11 526
10 12 435
10 13 665
10 14 1261
10 15 727
11 1 824
11 2 475
11 3 861
11 4 268
11 5 963
11 6 130
11 7 481
11 8 1144
11 9 1358
11 10 448
11 12 1470
11 13 1446
11 14 1290
11 15 968
12 1 1450
12 2 1257
12 3 1154
12 4 892
12 5 513
12 6 631
12 7 1209
12 8 1373
12 9 1097
12 10 170
12 11 1407
12 13 1497
12 14 515
12 15 635
13 1 957
13 2 1332
13 3 604
13 4 992
13 5 1137
13 6 1345
13 7 1430
13 8 1323
13 9 571
13 10 1459
13 11 1069
13 12 1085
13 14 438
13 15 251
14 1 1079
14 2 1248
14 3 1068
14 4 1083
14 5 72
14 6 859
14 7 640
14 8 726
14 9 677
14 10 1285
14 11 1306
14 12 1421
14 13 1435
14 15 1219
15 1 1492
15 2 1449
15 3 177
15 4 834
15 5 429
15 6 1388
15 7 1037
15 8 773
15 9 1348
15 10 218
15 11 1196
15 12 685
15 13 1342
15 14 199
m
0 1343 1377 1294 990 404 770 1488 898 1226 442 706 309 1181 621
312 0 983 600 862 1314 766 1485 546 1149 1304 1391 446 1468 1254
803 420 0 1404 1350 829 1030 1269 708 1140 1438 1119 1201 332 675
1362 1433 768 0 1133 1246 630 109 780 1028 1441 1353 1451 18 739
634 771 1393 299 0 912 788 160 890 1070 329 1364 1136 711 301
1465 471 949 1439 1477 0 1412 1429 1001 605 1004 774 382 547 1273
372 1258 1010 998 1247 1111 0 35 1012 1188 801 1148 617 1471 936
1427 494 1336 1372 1423 1100 45 0 925 1338 1121 1452 1406 1483 1390
969 1217 1259 1379 1374 1420 1347 232 0 1384 527 91 589 1049 1376
1198 1199 470 1123 194 1135 1383 1096 1361 0 526 435 665 1261 727
824 475 861 268 963 130 481 1144 1358 448 0 1470 1446 1290 968
1450 1257 1154 892 513 631 1209 1373 1097 170 1407 0 1497 515 635
957 1332 604 992 1137 1345 1430 1323 571 1459 1069 1085 0 438 251
1079 1248 1068 1083 72 859 640 726 677 1285 1306 1421 1435 0 1219
1492 1449 177 834 429 1388 1037 773 1348 218 1196 685 1342 199 0
E
