startin 1
1 2 1595
1 3 521
1 4 1401
1 5 1526
1 6 977
1 7 318
1 8 12
1 9 1487
1 10 1021
1 11 500
1 12 378
1 13 1411
1 14 832
1 15 998
1 16 118
1 17 95
2 3 1057
2 4 154
2 5 1236
2 6 719
2 7 609
2 8 272
2 9 252
2 10 155
2 11 1260
2 12 1092
2 13 93
2 14 1481
2 15 183
2 16 591
2 17 1548
3 4 214
3 5 1284
3 6 1250
3 7 965
3 8 576
3 9 1386
3 10 461
3 11 193
3 12 1608
3 13 209
3 14 1560
3 15 1358
3 16 746
3 17 848
4 5 1653
4 6 229
4 7 54
4 8 362
4 9 237
4 10 42
4 11 169
4 12 857
4 13 1693
4 14 250
4 15 577
4 16 999
4 17 430
5 6 14
5 7 1216
5 8 740
5 9 812
5 10 465
5 11 1027
5 12 1400
5 13 799
5 14 1296
5 15 361
5 16 1278
5 17 1419
6 7 952
6 8 412
6 9 546
6 10 989
6 11 459
6 12 633
6 13 890
6 14 768
6 15 1429
6 16 539
6 17 1249
7 8 1510
7 9 941
7 10 611
7 11 518
7 12 809
7 13 458
7 14 1262
7 15 1046
7 16 1614
7 17 158
8 9 448
8 10 382
8 11 1165
8 12 11
8 13 368
8 14 553
8 15 1592
8 16 191
8 17 403
9 10 101
9 11 1049
9 12 1380
9 13 76
9 14 1112
9 15 386
9 16 390
9 17 133
10 11 1202
10 12 1368
10 13 968
10 14 757
10 15 1242
10 16 651
10 17 891
11 12 1032
11 13 1554
11 14 81
11 15 156
11 16 1308
11 17 1168
12 13 1089
12 14 1156
12 15 1079
12 16 1550
12 17 1126
13 14 481
13 15 960
13 16 1024
13 17 61
14 15 254
14 16 726
14 17 114
15 16 1144
15 17 887
16 17 1435
M
0 1595 521 1401 1526 977 318 12 1487 1021 500 378 1411 832 998 118 95
1595 0 1057 154 1236 719 609 272 252 155 1260 1092 93 1481 183 591 1548
521 1057 0 214 1284 1250 965 576 1386 461 193 1608 209 1560 1358 746 848
1401 154 214 0 1653 229 54 362 237 42 169 857 1693 250 577 999 430
1526 1236 1284 1653 0 14 1216 740 812 465 1027 1400 799 1296 361 1278 1419
977 719 1250 229 14 0 952 412 546 989 459 633 890 768 1429 539 1249
318 609 965 54 1216 952 0 1510 941 611 518 809 458 1262 1046 1614 158
12 272 576 362 740 412 1510 0 448 382 1165 11 368 553 1592 191 403
1487 252 1386 237 812 546 941 448 0 101 1049 1380 76 1112 386 390 133
1021 155 461 42 465 989 611 382 101 0 1202 1368 968 757 1242 651 891
500 1260 193 169 1027 459 518 1165 1049 1202 0 1032 1554 81 156 1308 1168
378 1092 1608 857 1400 633 809 11 1380 1368 1032 0 1089 1156 1079 1550 1126
1411 93 209 1693 799 890 458 368 76 968 1554 1089 0 481 960 1024 61
832 1481 1560 250 1296 768 1262 553 1112 757 81 1156 481 0 254 726 114
998 183 1358 577 361 1429 1046 1592 386 1242 156 1079 960 254 0 1144 887
118 591 746 999 1278 539 1614 191 390 651 1308 1550 1024 726 1144 0 1435
95 1548 848 430 1419 1249 158 403 133 891 1168 1126 61 114 887 1435 0
E
