startin 1
1 2 103
1 3 1084
1 4 768
1 5 1576
1 6 1440
1 7 999
1 8 615
1 9 1302
1 10 1157
1 11 1158
1 12 140
1 13 49
1 14 510
1 15 741
1 16 1051
1 17 923
1 18 1754
2 3 1094
2 4 587
2 5 1202
2 6 87
2 7 965
2 8 199
2 9 54
2 10 1149
2 11 1028
2 12 116
2 13 1600
2 14 1770
2 15 1192
2 16 1404
2 17 1238
2 18 1145
3 4 603
3 5 659
3 6 28
3 7 221
3 8 102
3 9 1383
3 10 1537
3 11 1387
3 12 1535
3 13 114
3 14 983
3 15 893
3 16 744
3 17 1038
3 18 879
4 5 532
4 6 1489
4 7 207
4 8 1203
4 9 322
4 10 100
4 11 1358
4 12 1079
4 13 932
4 14 1134
4 15 446
4 16 18
4 17 740
4 18 862
5 6 833
5 7 1333
5 8 1221
5 9 1460
5 10 1345
5 11 1561
5 12 655
5 13 683
5 14 399
5 15 633
5 16 279
5 17 1018
5 18 478
6 7 513
6 8 1349
6 9 300
6 10 418
6 11 1024
6 12 26
6 13 1092
6 14 873
6 15 1045
6 16 1542
6 17 184
6 18 948
7 8 1315
7 9 1562
7 10 1761
7 11 477
7 12 1082
7 13 1664
7 14 70
7 15 93
7 16 632
7 17 1340
7 18 442
8 9 679
8 10 192
8 11 177
8 12 304
8 13 1137
8 14 718
8 15 599
8 16 1088
8 17 386
8 18 1739
9 10 1254
9 11 473
9 12 1668
9 13 1014
9 14 1695
9 15 495
9 16 1234
9 17 59
9 18 1035
10 11 626
10 12 1012
10 13 790
10 14 1200
10 15 1546
10 16 854
10 17 30
10 18 310
11 12 1733
11 13 352
11 14 269
11 15 556
11 16 1307
11 17 196
11 18 558
12 13 866
12 14 1413
12 15 1449
12 16 922
12 17 1271
12 18 1621
13 14 147
13 15 1444
13 16 1716
13 17 1424
13 18 1409
14 15 743
14 16 1742
14 17 1113
14 18 311
15 16 1539
15 17 764
15 18 1378
16 17 16
16 18 1356
17 18 686
M
0 103 1084 768 1576 1440 999 615 1302 1157 1158 140 49 510 741 1051 923 1754
103 0 1094 587 1202 87 965 199 54 1149 1028 116 1600 1770 1192 1404 1238 1145
1084 1094 0 603 659 28 221 102 1383 1537 1387 1535 114 983 893 744 1038 879
768 587 603 0 532 1489 207 1203 322 100 1358 1079 932 1134 446 18 740 862
1576 1202 659 532 0 833 1333 1221 1460 1345 1561 655 683 399 633 279 1018 478
1440 87 28 1489 833 0 513 1349 300 418 1024 26 1092 873 1045 1542 184 948
999 965 221 207 1333 513 0 1315 1562 1761 477 1082 1664 70 93 632 1340 442
615 199 102 1203 1221 1349 1315 0 679 192 177 304 1137 718 599 1088 386 1739
1302 54 1383 322 1460 300 1562 679 0 1254 473 1668 1014 1695 495 1234 59 1035
1157 1149 1537 100 1345 418 1761 192 1254 0 626 1012 790 1200 1546 854 30 310
1158 1028 1387 1358 1561 1024 477 177 473 626 0 1733 352 269 556 1307 196 558
140 116 1535 1079 655 26 1082 304 1668 1012 1733 0 866 1413 1449 922 1271 1621
49 1600 114 932 683 1092 1664 1137 1014 790 352 866 0 147 1444 1716 1424 1409
510 1770 983 1134 399 873 70 718 1695 1200 269 1413 147 0 743 1742 1113 311
741 1192 893 446 633 1045 93 599 495 1546 556 1449 1444 743 0 1539 764 1378
1051 1404 744 18 279 1542 632 1088 1234 854 1307 922 1716 1742 1539 0 16 1356
923 1238 1038 740 1018 184 1340 386 59 30 196 1271 1424 1113 764 16 0 686
1754 1145 879 862 478 948 442 1739 1035 310 558 1621 1409 311 1378 1356 686 0
E
