startin 1
1 2 985
1 3 912
1 4 1563
1 5 198
1 6 5
1 7 1290
1 8 227
1 9 826
1 10 753
1 11 3
1 12 1308
1 13 1398
1 14 631
1 15 256
1 16 116
2 1 760
2 3 327
2 4 168
2 5 1259
2 6 454
2 7 1594
2 8 30
2 9 1533
2 10 837
2 11 1359
2 12 1465
2 13 1453
2 14 206
2 15 43
2 16 275
3 1 298
3 2 42
3 4 1495
3 5 552
3 6 290
3 7 1041
3 8 919
3 9 144
3 10 346
3 11 1054
3 12 1049
3 13 866
3 14 436
3 15 1
3 16 523
4 1 991
4 2 553
4 3 1264
4 5 34
4 6 745
4 7 1258
4 8 513
4 9 855
4 10 382
4 11 425
4 12 960
4 13 352
4 14 107
4 15 370
4 16 500
5 1 864
5 2 331
5 3 232
5 4 546
5 6 384
5 7 1066
5 8 649
5 9 252
5 10 1484
5 11 220
5 12 1353
5 13 231
5 14 1137
5 15 460
5 16 1240
6 1 1076
6 2 841
6 3 163
6 4 840
6 5 763
6 7 396
6 8 509
6 9 78
6 10 105
6 11 1429
6 12 1457
6 13 515
6 14 464
6 15 848
6 16 342
7 1 1489
7 2 720
7 3 1451
7 4 1565
7 5 1587
7 6 963
7 8 980
7 9 326
7 10 1396
7 11 1143
7 12 556
7 13 411
7 14 1161
7 15 718
7 16 769
8 1 824
8 2 1191
8 3 650
8 4 59
8 5 843
8 6 1058
8 7 1411
8 9 485
8 10 1514
8 11 795
8 12 52
8 13 868
8 14 715
8 15 972
8 16 1520
9 1 516
9 2 1516
9 3 829
9 4 1534
9 5 153
9 6 308
9 7 357
9 8 215
9 10 949
9 11 374
9 12 1327
9 13 585
9 14 1070
9 15 1561
9 16 918
10 1 719
10 2 971
10 3 716
10 4 38
10 5 629
10 6 226
10 7 1460
10 8 800
10 9 192
10 11 1063
10 12 1229
10 13 1243
10 14 380
10 15 435
10 16 349
11 1 476
11 2 1061
11 3 1437
11 4 1250
11 5 1367
11 6 726
11 7 154
11 8 573
11 9 1295
11 10 164
11 12 409
11 13 774
11 14 725
11 15 400
11 16 1292
12 1 1446
12 2 694
12 3 1592
12 4 1586
12 5 1371
12 6 506
12 7 1130
12 8 368
12 9 229
12 10 652
12 11 1003
12 13 1294
12 14 1305
12 15 565
12 16 870
13 1 717
13 2 41
13 3 72
13 4 167
13 5 1192
13 6 1540
13 7 1299
13 8 1350
13 9 121
13 10 1421
13 11 1363
13 12 1278
13 14 772
13 15 673
13 16 1133
14 1 1584
14 2 161
14 3 300
14 4 1365
14 5 223
14 6 831
14 7 70
14 8 188
14 9 1496
14 10 578
14 11 1555
14 12 616
14 13 1013
14 15 1449
14 16 450
15 1 1357
15 2 967
15 3 142
15 4 253
15 5 794
15 6 667
15 7 900
15 8 619
15 9 496
15 10 452
15 11 1092
15 12 595
15 13 889
15 14 1539
15 16 1473
16 1 819
16 2 322
16 3 162
16 4 486
16 5 1472
16 6 1491
16 7 263
16 8 514
16 9 166
16 10 132
16 11 90
16 12 622
16 13 433
16 14 1257
16 15 1123
m
0 985 912 1563 198 5 1290 227 826 753 3 1308 1398 631 256 116
760 0 327 168 1259 454 1594 30 1533 837 1359 1465 1453 206 43 275
298 42 0 1495 552 290 1041 919 144 346 1054 1049 866 436 1 523
991 553 1264 0 34 745 1258 513 855 382 425 960 352 107 370 500
864 331 232 546 0 384 1066 649 252 1484 220 1353 231 1137 460 1240
1076 841 163 840 763 0 396 509 78 105 1429 1457 515 464 848 342
1489 720 1451 1565 1587 963 0 980 326 1396 1143 556 411 1161 718 769
824 1191 650 59 843 1058 1411 0 485 1514 795 52 868 715 972 1520
516 1516 829 1534 153 308 357 215 0 949 374 1327 585 1070 1561 918
719 971 716 38 629 226 1460 800 192 0 1063 1229 1243 380 435 349
476 1061 1437 1250 1367 726 154 573 1295 164 0 409 774 725 400 1292
1446 694 1592 1586 1371 506 1130 368 229 652 1003 0 1294 1305 565 870
717 41 72 167 1192 1540 1299 1350 121 1421 1363 1278 0 772 673 1133
1584 161 300 1365 223 831 70 188 1496 578 1555 616 1013 0 1449 450
1357 967 142 253 794 667 900 619 496 452 1092 595 889 1539 0 1473
819 322 162 486 1472 1491 263 514 166 132 90 622 433 1257 1123 0
E
