startin 1
1 2 359
1 3 585
1 4 1533
1 5 1126
1 6 422
1 7 1811
1 8 9
1 9 1788
1 10 1568
1 11 1017
1 12 238
1 13 1159
1 14 1491
1 15 567
1 16 141
1 17 127
1 18 1254
1 19 688
1 20 949
2 1 758
2 3 676
2 4 239
2 5 718
2 6 734
2 7 1377
2 8 1586
2 9 179
2 10 1612
2 11 88
2 12 1526
2 13 329
2 14 1375
2 15 162
2 16 1803
2 17 1780
2 18 1050
2 19 334
2 20 1078
3 1 1103
3 2 1759
3 4 626
3 5 997
3 6 610
3 7 486
3 8 852
3 9 95
3 10 1749
3 11 693
3 12 1561
3 13 1682
3 14 1982
3 15 310
3 16 285
3 17 374
3 18 1589
3 19 349
3 20 1579
4 1 326
4 2 609
4 3 175
4 5 176
4 6 1001
4 7 1083
4 8 437
4 9 523
4 10 1173
4 11 914
4 12 1625
4 13 147
4 14 1705
4 15 465
4 16 189
4 17 1494
4 18 377
4 19 1455
4 20 125
5 1 1951
5 2 7
5 3 1486
5 4 1818
5 6 1918
5 7 594
5 8 1807
5 9 691
5 10 1360
5 11 1678
5 12 1456
5 13 1961
5 14 1505
5 15 1113
5 16 1746
5 17 966
5 18 708
5 19 1085
5 20 1860
6 1 1646
6 2 1952
6 3 1987
6 4 144
6 5 1029
6 7 389
6 8 1897
6 9 89
6 10 881
6 11 1181
6 12 1692
6 13 123
6 14 581
6 15 593
6 16 1792
6 17 635
6 18 895
6 19 165
6 20 1609
7 1 1066
7 2 352
7 3 1461
7 4 1208
7 5 577
7 6 855
7 8 402
7 9 1190
7 10 1117
7 11 858
7 12 1638
7 13 1216
7 14 1550
7 15 172
7 16 386
7 17 53
7 18 1023
7 19 1846
7 20 829
8 1 622
8 2 1252
8 3 1587
8 4 213
8 5 509
8 6 1524
8 7 1348
8 9 1091
8 10 640
8 11 817
8 12 27
8 13 116
8 14 625
8 15 491
8 16 1690
8 17 1177
8 18 1450
8 19 1226
8 20 455
9 1 1871
9 2 182
9 3 987
9 4 107
9 5 1212
9 6 1874
9 7 140
9 8 1296
9 10 39
9 11 1160
9 12 1924
9 13 198
9 14 62
9 15 511
9 16 1637
9 17 583
9 18 375
9 19 1820
9 20 1035
10 1 514
10 2 969
10 3 113
10 4 283
10 5 764
10 6 1649
10 7 869
10 8 1964
10 9 1785
10 11 211
10 12 351
10 13 400
10 14 1038
10 15 1134
10 16 816
10 17 358
10 18 85
10 19 477
10 20 788
11 1 445
11 2 1875
11 3 1289
11 4 1389
11 5 366
11 6 907
11 7 1833
11 8 1592
11 9 1613
11 10 1962
11 12 1507
11 13 880
11 14 1549
11 15 46
11 16 805
11 17 894
11 18 1419
11 19 183
11 20 59
12 1 575
12 2 505
12 3 823
12 4 1471
12 5 1454
12 6 1370
12 7 1975
12 8 1195
12 9 956
12 10 783
12 11 839
12 13 578
12 14 1221
12 15 753
12 16 1282
12 17 130
12 18 1451
12 19 1283
12 20 187
13 1 860
13 2 1394
13 3 508
13 4 605
13 5 1144
