startin 1
1 2 1235
1 3 934
1 4 1118
1 5 1274
1 6 100
1 7 1237
1 8 1141
1 9 784
1 10 558
1 11 1132
1 12 933
1 13 454
2 1 176
2 3 722
2 4 852
2 5 27
2 6 959
2 7 240
2 8 1130
2 9 836
2 10 441
2 11 855
2 12 978
2 13 278
3 1 1208
3 2 785
3 4 664
3 5 1062
3 6 1153
3 7 228
3 8 98
3 9 19
3 10 394
3 11 496
3 12 79
3 13 61
4 1 940
4 2 856
4 3 1213
4 5 54
4 6 886
4 7 870
4 8 592
4 9 599
4 10 704
4 11 1233
4 12 975
4 13 1286
5 1 11
5 2 901
5 3 1260
5 4 202
5 6 121
5 7 637
5 8 891
5 9 487
5 10 1262
5 11 154
5 12 60
5 13 1138
6 1 837
6 2 205
6 3 1218
6 4 198
6 5 1078
6 7 410
6 8 1276
6 9 955
6 10 95
6 11 128
6 12 317
6 13 107
7 1 783
7 2 1270
7 3 569
7 4 686
7 5 26
7 6 879
7 8 1197
7 9 924
7 10 290
7 11 318
7 12 776
7 13 56
8 1 406
8 2 806
8 3 215
8 4 1296
8 5 253
8 6 973
8 7 266
8 9 427
8 10 657
8 11 1020
8 12 607
8 13 810
9 1 421
9 2 1145
9 3 864
9 4 1165
9 5 865
9 6 671
9 7 751
9 8 1142
9 10 1252
9 11 716
9 12 387
9 13 937
10 1 1240
10 2 1236
10 3 1125
10 4 596
10 5 1200
10 6 1280
10 7 1071
10 8 118
10 9 222
10 11 956
10 12 1094
10 13 643
11 1 425
11 2 1194
11 3 1169
11 4 225
11 5 1281
11 6 330
11 7 122
11 8 467
11 9 267
11 10 902
11 12 790
11 13 602
12 1 789
12 2 181
12 3 21
12 4 43
12 5 1283
12 6 1238
12 7 1295
12 8 1158
12 9 680
12 10 805
12 11 1134
12 13 849
13 1 683
13 2 843
13 3 878
13 4 988
13 5 1023
13 6 1086
13 7 339
13 8 443
13 9 781
13 10 1009
13 11 1225
13 12 323
m
0 1235 934 1118 1274 100 1237 1141 784 558 1132 933 454
176 0 722 852 27 959 240 1130 836 441 855 978 278
1208 785 0 664 1062 1153 228 98 19 394 496 79 61
940 856 1213 0 54 886 870 592 599 704 1233 975 1286
11 901 1260 202 0 121 637 891 487 1262 154 60 1138
837 205 1218 198 1078 0 410 1276 955 95 128 317 107
783 1270 569 686 26 879 0 1197 924 290 318 776 56
406 806 215 1296 253 973 266 0 427 657 1020 607 810
421 1145 864 1165 865 671 751 1142 0 1252 716 387 937
1240 1236 1125 596 1200 1280 1071 118 222 0 956 1094 643
425 1194 1169 225 1281 330 122 467 267 902 0 790 602
789 181 21 43 1283 1238 1295 1158 680 805 1134 0 849
683 843 878 988 1023 1086 339 443 781 1009 1225 323 0
E
