startin 1
1 2 175
1 3 280
1 4 198
1 5 692
1 6 1852
1 7 351
1 8 964
1 9 332
1 10 19
1 11 1289
1 12 380
1 13 768
1 14 466
1 15 610
1 16 1833
1 17 1367
1 18 1466
1 19 1677
2 3 1295
2 4 478
2 5 859
2 6 23
2 7 1606
2 8 67
2 9 1532
2 10 651
2 11 1612
2 12 524
2 13 1189
2 14 809
2 15 60
2 16 757
2 17 138
2 18 989
2 19 582
3 4 445
3 5 1682
3 6 1638
3 7 1746
3 8 1678
3 9 944
3 10 917
3 11 580
3 12 470
3 13 1440
3 14 1628
3 15 1793
3 16 144
3 17 820
3 18 1840
3 19 1123
4 5 716
4 6 1886
4 7 1109
4 8 450
4 9 1354
4 10 1174
4 11 355
4 12 623
4 13 864
4 14 1052
4 15 509
4 16 636
4 17 937
4 18 1122
4 19 1257
5 6 1400
5 7 650
5 8 1091
5 9 959
5 10 14
5 11 551
5 12 674
5 13 1892
5 14 597
5 15 252
5 16 1565
5 17 438
5 18 1592
5 19 1708
6 7 140
6 8 790
6 9 268
6 10 880
6 11 833
6 12 829
6 13 1721
6 14 47
6 15 1802
6 16 744
6 17 503
6 18 1895
6 19 974
7 8 26
7 9 896
7 10 663
7 11 534
7 12 1051
7 13 1715
7 14 967
7 15 1445
7 16 682
7 17 1269
7 18 1860
7 19 1137
8 9 383
8 10 1264
8 11 785
8 12 1896
8 13 1128
8 14 962
8 15 1238
8 16 1259
8 17 1656
8 18 1751
8 19 35
9 10 741
9 11 601
9 12 1835
9 13 1200
9 14 1558
9 15 1633
9 16 1278
9 17 1584
9 18 1155
9 19 1319
10 11 96
10 12 1285
10 13 776
10 14 669
10 15 1361
10 16 708
10 17 471
10 18 878
10 19 307
11 12 352
11 13 194
11 14 1378
11 15 1864
11 16 714
11 17 463
11 18 604
11 19 1460
12 13 1160
12 14 179
12 15 1260
12 16 51
12 17 793
12 18 424
12 19 559
13 14 122
13 15 460
13 16 802
13 17 1897
13 18 8
13 19 1649
14 15 1858
14 16 20
14 17 317
14 18 1377
14 19 1028
15 16 1800
15 17 259
15 18 225
15 19 1884
16 17 1662
16 18 1736
16 19 1502
17 18 181
17 19 1009
18 19 1145
M
0 175 280 198 692 1852 351 964 332 19 1289 380 768 466 610 1833 1367 1466 1677
175 0 1295 478 859 23 1606 67 1532 651 1612 524 1189 809 60 757 138 989 582
280 1295 0 445 1682 1638 1746 1678 944 917 580 470 1440 1628 1793 144 820 1840 1123
198 478 445 0 716 1886 1109 450 1354 1174 355 623 864 1052 509 636 937 1122 1257
692 859 1682 716 0 1400 650 1091 959 14 551 674 1892 597 252 1565 438 1592 1708
1852 23 1638 1886 1400 0 140 790 268 880 833 829 1721 47 1802 744 503 1895 974
351 1606 1746 1109 650 140 0 26 896 663 534 1051 1715 967 1445 682 1269 1860 1137
964 67 1678 450 1091 790 26 0 383 1264 785 1896 1128 962 1238 1259 1656 1751 35
332 1532 944 1354 959 268 896 383 0 741 601 1835 1200 1558 1633 1278 1584 1155 1319
19 651 917 1174 14 880 663 1264 741 0 96 1285 776 669 1361 708 471 878 307
1289 1612 580 355 551 833 534 785 601 96 0 352 194 1378 1864 714 463 604 1460
380 524 470 623 674 829 1051 1896 1835 1285 352 0 1160 179 1260 51 793 424 559
768 1189 1440 864 1892 1721 1715 1128 1200 776 194 1160 0 122 460 802 1897 8 1649
466 809 1628 1052 597 47 967 962 1558 669 1378 179 122 0 1858 20 317 1377 1028
610 60 1793 509 252 1802 1445 1238 1633 1361 1864 1260 460 1858 0 1800 259 225 1884
1833 757 144 636 1565 744 682 1259 1278 708 714 51 802 20 1800 0 1662 1736 1502
1367 138 820 937 438 503 1269 1656 1584 471 463 793 1897 317 259 1662 0 181 1009
1466 989 1840 1122 1592 1895 1860 1751 1155 878 604 424 8 1377 225 1736 181 0 1145
1677 582 1123 1257 1708 974 1137 35 1319 307 1460 559 1649 1028 1884 1502 1009 1145 0
E
